name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Yangko;0.40 g;254.0;3.0;58.1;1.1;0.0;0.0;0.8
Gurandil;1 g;218.0;0.5;48.5;2.5;0.0;0.0;3.1
Kapusa;1 g;158.0;4.4;27.8;3.2;0.0;104.0;5.3
Tumis bayam bersantan;0.60 g;48.0;1.4;2.6;4.2;0.0;0.0;0.5
Dodol Banjarmasin;1.50 g;368.0;2.6;70.0;8.6;0.0;48.0;0.5
Mixed nut and Ham Mooncake;2.08 g;245.0;5.4;21.38;15.3;0.0;0.0;2.08
Good time double choc;2 g;30.0;1.0;11.0;3.5;4.0;80.0;2.0
Soto banjar;Tidak Diketahui;0.70 g;110.0;2.9;3.2;9.5;0.0;36.0
Nestle Carnation (kental manis);1 g;100.0;1.0;17.0;3.0;16.0;0.0;0.0
Bagea kelapa asin;1.30 g;450.0;3.2;78.1;13.9;0.0;74.0;0.0
Suweg; segar;Tidak Diketahui;1.20 g;74.0;1.4;17.2;0.1;0.0
Yogurt greek heavenly blush honey;2 g;180.0;5.0;18.0;10.0;9.0;40.0;2.0
Mie gaga;9 g;330.0;9.0;45.0;13.0;0.0;240.0;0.0
Susu Ultra Rasa Strawberry;6 g;140.0;6.0;22.0;3.5;0.0;50.0;0.0
Coklat bubuk;15.40 g;311.0;8.0;48.9;4.0;0.0;0.0;32.6
Mcdonald Double cheeseburger;2 g;430.0;25.0;35.0;21.0;7.0;0.0;2.0
WRP on the go (cokelat);6 g;150.0;7.0;24.0;3.0;16.0;0.0;6.0
Ikan Gete goreng;12.60 g;267.0;23.1;0.2;19.4;0.0;590.0;0.0
Ikan Baung;Tidak Diketahui;1.20 g;123.0;15.1;3.3;5.5;0.0;32.0
Lemon pepper (classic wings);1 g;180.0;15.0;1.0;13.0;0.0;0.0;1.0
Kue jahe;1.30 g;425.0;1.6;84.6;8.8;0.0;0.0;1.2
Susu Ultra Milk Full cream (kotak);8 g;150.0;8.0;12.0;8.0;0.0;0.0;0.0
Kacang mete/biji jambu monyet;2 g;616.0;16.3;28.7;48.4;0.0;26.0;0.9
Qtela tempe original;4 g;70.0;4.0;8.0;7.0;0.0;125.0;0.0
Sapi; segar;Tidak Diketahui;1.40 g;132.0;19.7;6.0;3.2;0.0
Biji kopi;12.40 g;399.0;12.4;62.7;15.4;0.0;0.0;0.0
Super Bubur dengan kuah kari;3 g;35.0;3.0;36.0;3.5;1.0;720.0;0.0
Tepung hunkwe (pati kacang ijo);1 g;364.0;4.5;83.5;1.0;0.0;15.0;16.1
Bakso;12.41 g;202.0;12.41;7.58;13.16;0.0;478.0;0.0
Ketan hitam;Tidak Diketahui;0.60 g;181.0;4.0;37.3;1.2;0.0;9.0
Sirup Tropicana sirup slim sirup orange;0 g;5.0;0.0;0.0;0.0;0.0;0.0;0.0
Bagea kw 2;1.10 g;382.0;0.3;87.2;3.5;0.0;0.0;0.9
Permen Mintz Duomint;0 g;0.0;0.0;2.0;0.0;2.0;0.0;0.0
Beras; mentah;Tidak Diketahui;0.50 g;353.0;7.0;80.0;0.5;0.0
Morin Mixed fruit Jam;0 g;0.0;0.0;11.0;0.0;9.0;0.0;0.0
.Heavenly Blush;4 g;90.0;2.0;15.0;2.5;5.0;0.0;4.0
Eskrim paddle pop choco magma;1 g;70.0;1.0;12.0;2.5;8.0;0.0;1.0
Susu ibu - ASI;0.20 g;62.0;1.5;7.0;3.2;0.0;15.0;0.0
Pop mie rasa kari ayam;44 g;350.0;7.0;45.0;16.0;4.0;0.0;44.0
Starbucks hot caffe latte (whole milk);12 g;230.0;12.0;19.0;12.0;0.0;0.0;0.0
Lays 14g;1 g;70.0;1.0;10.0;7.0;0.0;70.0;0.0
Starbucks java chip frappuccino (wholemilk);7 g;350.0;7.0;68.0;5.0;0.0;0.0;0.0
Bungkil kacang tanah;33.10 g;336.0;37.4;30.5;13.0;0.0;0.0;0.0
Daun kol sawi;Tidak Diketahui;0.70 g;22.0;2.1;3.6;0.5;0.0;19.0
Biskuit choco mania;1 g;100.0;1.0;14.0;4.5;7.0;0.0;0.0
Bou ninahu ndamate;Tidak Diketahui;2.10 g;79.0;6.3;1.1;1.0;0.0;67.0
Putri selat;0.90 g;163.0;2.2;13.8;6.5;0.0;6.0;0.0
Yogurt greek yummy blueberry;8 g;140.0;8.0;19.0;3.5;10.0;65.0;0.0
Ikan Beunteur;Tidak Diketahui;9 g;109.0;17.0;0.0;4.0;0.0;109.0
Teh hitam daun kering;5.90 g;293.0;24.5;58.8;2.8;0.0;50.0;8.7
abc kopi susu;1 g;130.0;1.0;27.0;2.5;0.0;15.0;0.0
Es krim Aice coklat sundae;2 g;100.0;2.0;14.0;4.0;8.0;15.0;0.0
Bayam merah;Tidak Diketahui;2.20 g;41.0;2.2;6.3;0.8;0.0;20.0
Kacang ercis;Tidak Diketahui;1 g;129.0;12.4;18.3;0.7;0.0;4.0
Asinan bogor;Tidak Diketahui;0.70 g;98.0;3.9;14.8;2.6;0.0;483.0
Susu WRP loses weight coklat;2 g;220.0;14.0;27.0;6.0;20.0;0.0;2.0
Kalio kikil (tunjang);Tidak Diketahui;1.30 g;122.0;13.8;3.9;5.7;0.0;519.0
ABC Kecap Asin;1 g;5.0;1.0;1.0;0.0;0.0;830.0;0.0
Buah naga putih;Tidak Diketahui;0.60 g;56.0;0.8;10.9;1.0;0.0;7.0
Jagung pipil var;kering;Tidak Diketahui;1.30 g;368.0;5.5;78.0;4.6;0.0
Kacang bogor segar;1 g;165.0;7.7;27.4;3.1;0.0;6.0;2.5
Itik alabio; dendeng; mentah;Tidak Diketahui;5.10 g;496.0;30.3;18.4;33.5
Chatime pearl milk tea;1 g;374.0;1.0;67.0;11.0;39.5;0.0;0.0
Aqua;0 g;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Bingka;0.60 g;273.0;5.3;39.1;10.6;0.0;0.0;0.0
Enting-enting wijen;3 g;565.0;18.2;36.8;38.4;0.0;0.0;1.9
Kool merah;Tidak Diketahui;0.90 g;29.0;1.4;5.3;0.2;0.0;28.0
Oyek;0.70 g;351.0;0.9;84.9;0.9;0.0;5.0;4.3
Rujak aceh;0.90 g;82.0;0.4;19.7;0.3;0.0;0.0;2.4
Keripik kemplang goreng;3.40 g;504.0;5.6;57.1;28.1;0.0;0.0;0.3
Bungkil kelapa;38 g;368.0;23.0;40.0;15.0;0.0;0.0;0.0
Bamboe soto ayam;1 g;10.0;1.0;2.0;1.0;1.0;850.0;1.0
Belitung; segar;Tidak Diketahui;1.10 g;145.0;1.2;34.2;0.4;0.0
Geplak Jahe;2.50 g;462.0;3.1;57.7;14.4;0.0;0.0;3.3
Kacang mekah; segar;Tidak Diketahui;0.90 g;22.0;1.1;3.4;1.0;0.0
Dodol kedongdong;0.40 g;331.0;1.9;63.8;7.6;0.0;0.0;1.0
Kepala susu - krim;Tidak Diketahui;0.90 g;204.0;2.6;4.0;20.0;0.0;0.0
Ubi Cilembu;0.90 g;186.0;1.9;44.3;0.2;0.0;1.0;3.4
Bungkil biji karet;29.40 g;333.0;29.3;50.0;3.3;0.0;0.0;0.0
Monde Boromon Wafers rasa Vanila;2 g;60.0;1.0;16.0;7.0;7.0;60.0;2.0
Good Day Cappuccino With Cocoa Granule;1 g;110.0;1.0;21.0;2.5;17.0;10.0;1.0
Starbucks hot caramel macchiato (wholemilk);10 g;280.0;10.0;35.0;11.0;0.0;0.0;0.0
Soto padang;Tidak Diketahui;2 g;127.0;5.9;11.0;6.6;0.0;0.0
Soto kudus;Tidak Diketahui;1.70 g;38.0;3.6;1.8;2.3;0.0;0.0
Tahubaxo rebus;11 g;109.0;11.0;16.0;0.0;0.0;504.0;0.0
Meises coklat;2 g;120.0;0.0;20.0;4.0;16.0;0.0;2.0
Jeruk Kalamansi;Tidak Diketahui;0.40 g;39.0;0.3;8.9;0.3;0.0;3.0
Batar daan;0.70 g;107.0;2.2;19.6;2.2;0.0;200.0;0.0
Nasi Goreng;0.40 g;500.0;7.0;40.2;34.4;0.0;18.0;0.4
Baruasa;0.70 g;417.0;6.5;79.3;8.2;0.0;0.0;0.0
Omelet Mie Telur;14.30 g;500.7;14.3;54.5;24.3;0.0;1132.0;0.0
Daun jawaw seluang;Tidak Diketahui;1.20 g;93.0;5.0;15.3;1.3;0.0;2.0
Saladstop Sunshine jakarta;15.10 g;556.6;45.2;50.7;26.6;18.1;988.8;15.1
Sarimi isi tongseng ayam;6 g;560.0;11.0;76.0;23.0;5.0;0.0;6.0
Ikan Mujahir / Mujair;Tidak Diketahui;1.10 g;89.0;18.7;0.0;1.0;0.0;51.0
Talas pontianak;Tidak Diketahui;0.90 g;163.0;2.3;36.4;0.5;0.0;14.0
Susu Rasa Taro;5 g;130.0;5.0;18.0;4.0;14.0;60.0;0.0
Masako Daging Sapi;0 g;0.0;0.0;0.0;0.0;0.0;590.0;0.0
Koya mirasa;1.60 g;370.0;8.0;82.2;1.0;0.0;0.0;0.4
Sasa tepung bakso goreng;1 g;90.0;1.0;21.0;0.0;0.0;910.0;0.0
Mizone;0 g;45.0;0.0;11.0;0.0;11.0;0.0;0.0
Fillet o-fish;1.50 g;270.0;12.3;19.3;15.9;0.0;439.0;0.2
Beras giling var rojolele;Tidak Diketahui;0.80 g;357.0;8.4;77.1;1.7;0.0;34.0
Beras menir;Tidak Diketahui;0.20 g;362.0;7.7;73.0;4.4;0.0;90.0
Monde Snack Gold;2 g;20.0;2.0;16.0;2.5;3.0;35.0;0.0
Mony Oats Dark Choco Flavour;0 g;50.0;0.0;7.0;20.0;4.0;15.0;0.0
Kacang babi;Tidak Diketahui;3.50 g;341.0;30.4;51.3;3.2;0.0;13.0
Subway black forest ham sandwich;5 g;290.0;18.0;46.0;4.5;8.0;0.0;5.0
Tempe lamtoro var. gung dengan kuit;1.30 g;146.0;11.7;19.6;2.3;0.0;0.0;7.6
Kalio ayam;Tidak Diketahui;1.40 g;203.0;16.0;4.4;13.5;0.0;534.0
Silky Pudding Taro Flavour;2 g;15.0;2.0;16.0;1.5;11.0;45.0;0.0
Talas bogor;Tidak Diketahui;0.80 g;108.0;1.4;25.0;0.4;0.0;10.0
Niu Zuzu rasa coklat;2 g;120.0;2.0;22.0;3.0;18.0;110.0;0.0
Jeruk bali;Tidak Diketahui;0.50 g;48.0;0.6;12.4;0.2;0.0;21.0
Delfi ChaCha Peanut;3 g;160.0;3.0;17.0;8.0;0.0;10.0;0.0
Kacang endel;Tidak Diketahui;2 g;331.0;25.0;58.0;1.0;0.0;12.0
Bihun goreng instan;0.70 g;381.0;6.1;80.3;3.9;0.0;928.0;0.0
Mie ayam;0.80 g;102.0;6.2;10.5;3.9;0.0;279.0;0.0
Koro benguk;Tidak Diketahui;3 g;332.0;24.0;55.0;3.0;0.0;42.0
Nongshim Shin cup;10.90 g;309.0;10.9;46.8;6.0;1.9;0.0;0.0
Teh botol tawar;0 g;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Biji nangka / Biji salak;0.70 g;262.0;2.3;51.1;5.4;0.0;10.0;8.0
Emping (keripik melinjo);28 g;345.0;12.0;71.5;1.5;0.0;0.0;0.0
Soto bandung;Tidak Diketahui;1.80 g;42.0;3.9;2.8;1.7;0.0;0.0
Origo coffe avocado coffe;4.04 g;160.0;4.04;22.46;6.02;14.12;0.0;0.0
Subway sweet onion chicken teriyaki sandwich;5 g;370.0;25.0;58.0;4.5;16.0;0.0;5.0
Komak polong;1.10 g;99.0;3.3;21.2;0.1;0.0;15.0;10.3
Hazelnut;9.70 g;628.0;14.95;16.7;60.75;0.0;0.0;9.7
Sariroti roti tawar kupas;1 g;110.0;3.0;19.0;2.0;1.0;170.0;1.0
Andewi;Tidak Diketahui;1.10 g;226.0;1.6;5.3;0.2;0.0;29.0
Mie bakso;0.80 g;114.0;5.3;16.4;3.0;0.0;760.0;0.1
Kin bulgarian yogurt orange;3 g;150.0;3.0;28.0;2.5;27.0;0.0;0.0
Tapai singkong;0.70 g;169.0;1.4;40.2;0.3;0.0;0.0;2.0
Buncis;Tidak Diketahui;0.50 g;34.0;2.4;7.2;0.3;0.0;8.0
Biskuit serena egg rolls chocolate;1 g;80.0;1.0;8.0;4.5;4.0;0.0;1.0
Ikan Mujahir / mujair goreng;2.20 g;416.0;46.9;0.0;23.9;0.0;54.0;0.0
Kue ku temu;0.50 g;214.0;3.5;49.6;0.2;0.0;0.0;0.0
Coklat Ferrero rocher;1 g;238.0;3.0;18.0;16.0;15.0;0.0;1.0
Outback steackhouse outback special;51 g;280.0;51.0;0.0;9.0;0.0;0.0;0.0
The coffe bean & tea leaf mocha ice blended drink;11 g;350.0;11.0;67.0;7.0;55.0;0.0;0.0
Indomie goreng;2 g;380.0;8.0;54.0;14.0;8.0;0.0;2.0
Nestle nestum;1 g;130.0;3.0;27.0;1.5;9.0;0.0;1.0
Jagung nasi;Tidak Diketahui;0.30 g;357.0;8.8;79.5;0.5;0.0;2.0
Indofood cap enak (kental manis);2 g;120.0;1.0;21.0;4.0;19.0;0.0;2.0
Pastel;1.50 g;307.0;4.5;42.4;13.3;0.0;0.0;0.0
Momogi Bintang Coklat;1 g;50.0;1.0;6.0;3.0;0.0;20.0;0.0
King's Fisher sarden goreng balado;8 g;120.0;8.0;4.0;8.0;0.0;0.0;0.0
Kewpie Caesar;1 g;70.0;1.0;3.0;6.0;0.0;190.0;0.0
Getuk singkong;1.10 g;204.0;0.5;47.4;1.4;0.0;0.0;0.8
Kenari banda;3.20 g;616.0;13.9;13.7;56.2;0.0;11.0;0.0
Anak sapi; gemuk;segar;Tidak Diketahui;5.20 g;184.0;18.8;0.0;14.0
Indomie ayam geprek;3 g;410.0;9.0;49.0;20.0;6.0;0.0;3.0
Oncom kacang tanah pepes;4.80 g;132.0;11.7;13.7;3.8;0.0;0.0;3.1
PT. Ultrajaya Milk Industry;PT. Ultrajaya Milk Industry, Tbk;6 g;120.0;6.0;9.0;6.0;0.0;40.0
Putri hijau;0.50 g;189.0;5.4;37.2;2.1;0.0;0.0;0.0
Nestle Milo 3in1 Activ-Go (Malt);1 g;140.0;4.0;25.0;3.0;0.0;80.0;1.0
Tiwul Instan;2.70 g;395.0;3.2;76.5;8.5;0.0;377.0;4.2
Hofa / Ubi hutan;Tidak Diketahui;0.90 g;127.0;1.2;29.5;0.5;0.0;3.0
Lanting getuk;3.80 g;422.0;0.9;80.4;10.8;0.0;0.0;1.4
Telur ayam ras / telor ayam ras ;Tidak Diketahui;0.80 g;154.0;12.4;0.7;10.8;0.0;142.0
Daun Kenikir;Tidak Diketahui;1.70 g;45.0;3.7;6.6;0.5;0.0;6.0
Oncom;1.40 g;187.0;13.0;22.6;6.0;0.0;0.0;0.0
Gadung ; segar;Tidak Diketahui;0.90 g;100.0;0.9;23.5;0.3;0.0
Nasi minyak;1.10 g;207.0;3.5;37.1;5.0;0.0;74.0;0.8
Starbucks green tea frappuccino (whole milk);5 g;320.0;5.0;64.0;4.5;0.0;0.0;0.0
Kue Kelepon;1.20 g;215.0;3.7;41.8;3.7;0.0;0.0;1.0
ABC Selera pedas hot gulai chicken;21 g;270.0;7.0;34.0;12.0;1.0;0.0;21.0
Royco sup krim jagung;1 g;70.0;1.0;11.0;2.0;4.0;380.0;0.0
BANGO Kecap Manis Light;0 g;40.0;0.0;10.0;0.0;8.0;140.0;0.0
Happy Tos Tortilla Chips;1 g;60.0;2.0;16.0;7.0;1.0;125.0;1.0
super bubur rasa ayam;3 g;170.0;3.0;32.0;3.0;0.0;840.0;0.0
Yoshinoya Veggie beef bowl (Large bowl);9 g;960.0;35.0;141.0;29.0;8.0;0.0;9.0
Intip goreng;2 g;474.0;7.6;62.3;21.6;0.0;0.0;1.2
Daun pohpohan;Tidak Diketahui;2.40 g;37.0;2.5;6.9;0.8;0.0;0.0
Suki Rasa Ayam Kecap;2 g;100.0;2.0;13.0;4.0;1.0;240.0;0.0
Soto betawi;Tidak Diketahui;1.30 g;135.0;2.5;11.5;8.8;0.0;0.0
Selada air;Tidak Diketahui;1.20 g;17.0;3.1;2.2;0.2;0.0;65.0
Mie Sedaap baso spesial;6 g;340.0;9.0;47.0;13.0;2.0;0.0;6.0
Naraya melon seed;6 g;130.0;6.0;2.0;10.0;0.0;180.0;0.0
Pepare ular;Tidak Diketahui;0.30 g;19.0;0.6;3.9;0.1;0.0;130.0
Kaburan; segar;Tidak Diketahui;0.50 g;133.0;1.0;32.2;0.2;0.0
You C1000 vitamin lemon;0 g;700.0;0.0;16.0;0.0;16.0;0.0;0.0
Kopi Good day the original;1 g;90.0;1.0;16.0;2.5;13.0;0.0;1.0
Naraya Coklat Cookies;1 g;50.0;1.0;6.0;3.0;0.0;45.0;0.0
Susu On gold standard whey;0.50 g;120.0;20.0;3.0;1.8;1.6;0.0;0.5
Sariroti roti tawar gandum;6 g;190.0;6.0;32.0;3.5;2.0;290.0;6.0
King's Fisher sarden sambal bangkok;8 g;70.0;8.0;6.0;2.0;0.0;0.0;0.0
Ultra Sari Asem Asli;0 g;130.0;0.0;32.0;0.0;0.0;0.0;0.0
Sagu aren segar;0.10 g;231.0;0.6;56.6;0.2;0.0;7.0;3.2
Kelapa tua; segar;Tidak Diketahui;1 g;359.0;3.4;14.0;34.7;0.0
Koyabu;0.90 g;241.0;3.4;47.2;4.3;0.0;0.0;0.0
Buah kelor;1.30 g;38.0;1.5;7.5;0.2;0.0;48.0;3.2
Mie Sedaap Cup Mi Kuah Bakso;8 g;350.0;8.0;45.0;15.0;0.0;1070.0;0.0
Martabak mesir;1.10 g;278.0;5.1;45.0;8.6;0.0;193.0;0.0
Encung asam;Tidak Diketahui;1.50 g;122.0;3.5;17.5;4.5;0.0;0.0
Croissant;1 g;180.0;3.0;21.0;9.0;0.0;0.0;1.0
Hokben Tori Ball;7 g;250.0;7.0;15.0;14.0;0.0;0.0;0.0
Ikan Sunu;Tidak Diketahui;1.10 g;111.0;13.3;6.7;3.4;0.0;91.0
Sapi;Tidak Diketahui;1.40 g;98.0;21.9;0.0;1.1;0.0;150.0
Beras ganyong;0.50 g;364.0;3.4;86.3;0.7;0.0;4.0;4.7
MR.P Cashewnuts;7 g;250.0;7.0;11.0;19.0;0.0;0.0;0.0
Dodol bali;1.80 g;298.0;3.7;65.9;2.1;0.0;0.0;0.4
Susu kambing;Tidak Diketahui;0.90 g;64.0;4.3;6.6;2.3;0.0;35.0
Origo coffe strawberry kopi susu;2.43 g;108.0;2.43;12.55;4.34;10.25;0.0;0.0
Permen KIS mini assorted;0 g;30.0;0.0;7.0;0.0;5.0;0.0;0.0
Telur ayam ras bagian putih;Tidak Diketahui;0.60 g;50.0;10.8;0.8;0.0;0.0;164.0
Pisang ayam;Tidak Diketahui;0.70 g;120.0;1.1;26.8;0.2;0.0;6.0
Pempek adaan;Tidak Diketahui;1.70 g;162.0;4.9;27.8;3.0;0.0;488.0
Keju kcang tanah (peanut butter);0.10 g;590.0;27.0;20.9;49.0;0.0;355.0;1.6
Ubi jalar manis;Tidak Diketahui;1.10 g;83.0;1.5;18.8;0.2;0.0;52.0
donat Krispy kreme mini original glazed;0.30 g;83.3;1.0;10.0;4.3;4.7;0.0;0.3
Sarimi Gelas Rasa Baso Sapi;3 g;50.0;2.0;18.0;6.0;2.0;390.0;3.0
Dalgona coffe;9.25 g;306.0;9.25;52.77;7.05;33.86;0.0;0.0
Lousiana rub (classic wings);1 g;171.0;15.0;1.0;12.0;0.0;0.0;1.0
Outback steackhouse Ribeye;58 g;540.0;58.0;0.0;35.0;0.0;0.0;0.0
Bonchon Spicy wings;0 g;800.0;56.0;18.0;54.0;5.0;0.0;0.0
Talas bogor kukus;0.80 g;120.0;1.5;28.2;0.3;0.0;11.0;0.7
Maya Sardines Chili sause;0.23 g;180.0;12.08;2.6;2.11;0.0;0.2;0.0
Cempedak;Tidak Diketahui;1 g;116.0;3.0;28.6;0.4;0.0;25.0
Good Day rock caramello 3 in 1 200g;1 g;40.0;1.0;14.0;4.5;13.0;100.0;1.0
PRONAS Sarden saus pedas (425 g);8 g;80.0;8.0;2.0;4.0;0.0;120.0;0.0
Terung belanda;Tidak Diketahui;1 g;52.0;2.1;8.6;1.1;0.0;0.0
Chitato;2 g;110.0;2.0;11.0;6.0;0.0;0.0;0.0
Rambutan;0.40 g;69.0;0.9;18.1;0.1;0.0;16.0;0.8
Beras ketan putih tumbuk;Tidak Diketahui;0.50 g;361.0;7.4;78.4;0.8;0.0;3.0
Sawo Manila;0.50 g;92.0;0.5;22.4;1.1;0.0;26.0;9.5
Kerupuk cumi goreng;3.80 g;444.0;6.9;71.3;14.6;0.0;837.0;5.0
Gemblong;1.20 g;274.0;1.7;55.5;5.4;0.0;0.0;2.2
Pop mie rasa baso;3 g;140.0;8.0;47.0;15.0;5.0;720.0;3.0
Soto madura;Tidak Diketahui;0.90 g;60.0;3.5;1.3;4.5;0.0;0.0
Saos tomat;3.60 g;110.0;2.0;24.5;0.4;0.0;890.0;0.9
Sariroti sandwich coklat;2 g;150.0;3.0;21.0;6.0;4.0;125.0;2.0
Bentul (Komba); segar;Tidak Diketahui;1.80 g;98.0;1.6;20.9;0.7;0.0
Sagu manis;0.60 g;287.0;0.5;62.4;3.9;0.0;34.0;0.0
Lemonia Biscuit;1 g;45.0;1.0;13.0;5.0;5.0;50.0;1.0
Koro loke;Tidak Diketahui;0.60 g;33.0;2.7;7.9;0.2;0.0;2.0
Daun pakis;Tidak Diketahui;1.40 g;39.0;4.5;6.9;0.4;0.0;20.0
Kangkung tondano;1.10 g;43.0;1.8;8.4;0.2;0.0;30.0;4.3
Mie telur cap 3 ayam;6 g;230.0;8.0;49.0;0.0;2.0;0.0;6.0
Pala; segar;Tidak Diketahui;0.50 g;42.0;0.3;10.9;0.2;0.0
Tepung Gaplek;1.10 g;345.0;2.4;83.1;0.4;0.0;6.0;6.7
Tempe kedelai murni mentah;1.60 g;201.0;20.8;13.5;8.8;0.0;9.0;1.4
Flax seeds;18.29 g;534.0;18.29;28.88;42.16;0.0;0.0;0.0
Starbucks hot caramel macchiato (nonfat milk);11 g;200.0;11.0;36.0;1.5;0.0;0.0;0.0
Bango Bumbu Kuliner Nusantara Tongseng Khas Solo;1 g;15.0;0.0;5.0;1.5;4.0;800.0;1.0
Bobengka;0.60 g;225.0;5.3;45.2;2.6;0.0;0.0;0.0
Markisa squash;Tidak Diketahui;0.20 g;104.0;1.2;23.7;0.5;0.0;40.0
Pizza hut deluxe cheeses;1 g;150.0;6.0;17.0;6.0;2.0;0.0;1.0
Mi ABC cup baso sapi;4 g;290.0;7.0;34.0;13.0;3.0;0.0;4.0
Nasi merah;0.30 g;149.0;2.8;32.5;0.4;0.0;5.0;0.3
Bagea kenari manis;1.30 g;523.0;3.2;64.2;28.2;0.0;74.0;0.0
Teh Javana;0 g;0.0;0.0;28.0;0.0;28.0;75.0;0.0
Biokul greek  yogurt;6 g;160.0;6.0;6.0;12.0;2.0;0.0;0.0
Frisian flag sweet delight;6 g;150.0;6.0;20.0;6.0;18.0;75.0;0.0
Ahh Nabati Richeese;0 g;10.0;0.0;3.0;1.0;1.0;15.0;0.0
Indomie mi kuah;2 g;300.0;7.0;43.0;11.0;3.0;0.0;2.0
Saladstop bold bulgogi;6 g;411.8;17.7;30.6;25.7;13.3;695.4;6.0
Kue sus;0.90 g;221.0;7.5;24.8;10.2;0.0;0.0;0.0
Dodol galamai;1.20 g;348.0;0.4;76.1;3.8;0.0;38.0;0.5
Ketoprak;2.60 g;153.0;7.9;13.0;7.7;0.0;0.0;2.9
Kue koa;1 g;340.0;4.8;79.3;0.4;0.0;0.0;0.0
Keju mozzarella;27.50 g;280.0;27.5;3.1;17.1;0.0;0.0;0.0
Espresso;0.04 g;3.0;0.04;0.49;0.05;0.0;0.0;0.0
Permen frozz lime mint;0 g;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Eskrim magnum white almond;3 g;230.0;3.0;23.0;14.0;13.0;0.0;3.0
Pop mie mie goreng pedas;6 g;370.0;6.0;49.0;17.0;4.0;0.0;6.0
Berilla Collezione Lasagne all'uovo;11 g;370.0;11.0;71.0;4.0;0.0;30.0;0.0
Roma Sandwich;2 g;140.0;2.0;17.0;7.0;6.0;80.0;0.0
Taoge kacang tunggak;Tidak Diketahui;1 g;40.0;5.0;5.8;0.2;0.0;2.0
Kacang negara;0.90 g;480.0;18.4;58.5;19.1;0.0;1010.0;11.7
Piattos Sambal Geprek Flavor;2 g;45.0;1.0;13.0;5.0;1.0;100.0;2.0
Japilus;2.70 g;500.0;1.2;67.3;25.1;0.0;0.0;0.4
Ribeye;19.80 g;217.0;19.8;0.11;15.21;0.0;0.0;0.0
Ikan Bader;Tidak Diketahui;2 g;193.0;19.0;0.0;13.0;0.0;118.0
Nutrijell pudding suus rasa vanila (120 g);0 g;40.0;0.0;8.0;0.5;5.0;30.0;0.0
Mie sedaap kari spesial;3 g;340.0;8.0;48.0;13.0;2.0;0.0;3.0
Burger Carl's Jr california classic double cheeseburger;2 g;600.0;23.0;41.0;39.0;11.0;0.0;2.0
The coffe bean & tea leaf matcha ice blended drink;16 g;410.0;16.0;67.0;9.0;59.0;0.0;0.0
Permen mentos spearmint;0 g;5.0;0.0;1.0;0.0;0.0;0.0;0.0
Teh Kotak Rasa Apel;0 g;100.0;0.0;24.0;0.0;20.0;50.0;0.0
Santan (dengan air);0.40 g;122.0;2.0;7.6;10.0;0.0;9.0;1.4
Mi basah;2.10 g;88.0;0.6;14.0;3.3;0.0;63.0;0.1
Sagu forno;0.60 g;291.0;0.5;63.4;4.0;0.0;40.0;0.0
Gado-gado;1.50 g;137.0;6.1;21.0;3.2;0.0;0.0;1.1
Coklat Hershey's milk chocolate;0.10 g;22.0;0.3;2.8;1.3;2.6;0.0;0.1
Mie aceh rebus;1.10 g;113.0;3.0;18.1;3.2;0.0;191.0;0.0
Jagung gerontol;0.80 g;156.0;2.7;33.3;1.3;0.0;0.0;1.0
Puff pastry sheet;3 g;200.0;3.0;18.0;13.0;1.0;0.0;0.0
Melinjo emping tebal goreng asin;1.60 g;431.0;11.1;63.0;16.2;0.0;0.0;0.0
Wortel;Tidak Diketahui;0.60 g;36.0;1.0;7.9;0.6;0.0;70.0
Yogurt greek yummy original;7 g;140.0;7.0;17.0;4.0;8.0;0.0;0.0
Sayur sop;2.70 g;27.0;1.3;1.0;2.0;0.0;0.0;0.3
Pulut;0.80 g;216.0;2.6;44.4;3.1;0.0;100.0;0.0
Andaliman;Tidak Diketahui;2.20 g;99.0;4.6;18.0;1.0;0.0;0.0
Nutrisari jus mangga;0 g;60.0;0.0;13.0;1.0;12.0;0.0;0.0
Ikan Batung;Tidak Diketahui;1.10 g;115.0;14.5;4.2;4.6;0.0;42.0
Bihun;Tidak Diketahui;0.20 g;348.0;4.7;82.1;0.1;0.0;12.0
Kelapa setengah tua; segar;Tidak Diketahui;1 g;180.0;4.0;10.0;15.0;0.0
dancow susu bubuk fortigro full cream;6 g;120.0;6.0;10.0;7.0;0.0;90.0;0.0
Pork loin;19.74 g;198.0;19.74;0.0;12.58;0.0;0.0;0.0
Cake tape;1.40 g;323.0;4.9;50.1;11.5;0.0;0.0;1.4
Supermi rasa Kaldu Ayam;3 g;100.0;6.0;45.0;11.0;2.0;920.0;3.0
Jawawut;Tidak Diketahui;1.50 g;364.0;9.7;73.4;3.5;0.0;7.0
Ikan selar kuning cue;Tidak Diketahui;0.70 g;138.0;27.0;0.0;3.3;0.0;0.0
Sate Ayam;19.54 g;225.0;19.54;4.87;14.82;0.0;355.0;0.0
Ademsari chingku herbal tea;0 g;90.0;0.0;21.0;0.0;21.0;0.0;0.0
Batatas gembili;Tidak Diketahui;0.70 g;76.0;1.1;16.0;0.9;0.0;10.0
