name;serving_size;energy_kcal;protein_g;carbohydrate_g;fat_g;sugar_g;sodium_mg;fiber_g
Sawo duren;0.60 g;64.0;1.0;8.0;3.1;0.0;13.0;0.8
Subway Turkey breast sandwich;5 g;280.0;18.0;46.0;3.5;7.0;0.0;5.0
Qtela Tempe;4 g;110.0;4.0;8.0;7.0;0.0;0.0;0.0
Telur burung maleo;Tidak Diketahui;0.80 g;436.0;26.5;0.4;36.3;0.0;77.0
Marie salut cokelat;1 g;90.0;1.0;13.0;3.5;6.0;35.0;0.0
Nabati HANSEL;2 g;70.0;2.0;7.0;4.0;5.0;30.0;0.0
Kacang panjang biji;0.40 g;357.0;17.3;68.6;1.5;0.0;16.0;10.6
Koro roay;3 g;344.0;12.5;69.4;2.1;0.0;18.0;7.5
Bolu peca;0.90 g;197.0;3.3;35.6;4.6;0.0;0.0;0.0
air putih / air mineral / air minum;0 g;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Mr. Bread Roti tawar gandum;2.50 g;199.0;7.0;36.0;3.0;2.0;487.0;2.5
Kacang hijau var. Siwalik;Tidak Diketahui;3.70 g;339.0;20.8;64.6;2.1;0.0;45.0
Ikan Lehoma;Tidak Diketahui;1.10 g;90.0;20.4;0.0;0.9;0.0;56.0
Wingko babat;0.70 g;355.0;3.2;51.4;15.1;0.0;0.0;2.4
Permen frozz mint;0 g;0.0;0.0;1.0;0.0;0.0;0.0;0.0
Daun kecipir;Tidak Diketahui;1 g;52.0;5.0;8.5;0.5;0.0;6.0
Frisian flag french vanilla low fat;7 g;110.0;7.0;16.0;2.5;16.0;110.0;0.0
Cumi-cumi goreng;3.10 g;265.0;40.6;0.0;10.1;0.0;86.0;0.0
Melinjo emping tipis goreng;1.50 g;485.0;11.5;59.1;24.5;0.0;0.0;0.0
Apem;Tidak Diketahui;0.50 g;148.0;2.0;33.9;0.5;0.0;0.0
Beef teriyaki;0.90 g;151.0;8.6;22.3;3.1;0.0;377.0;0.3
Saori Saus Tiram;0 g;5.0;0.0;2.0;0.0;0.0;290.0;0.0
Ketan hitam;Tidak Diketahui;0.60 g;166.0;3.8;34.4;1.0;0.0;5.0
Gete kuah asam;Tidak Diketahui;3.80 g;75.0;8.2;6.0;2.0;0.0;260.0
Duwet;Tidak Diketahui;0.50 g;80.0;0.5;18.2;0.6;0.0;16.0
Mie Lemonilo ayam bawang;3 g;267.0;9.0;49.0;4.0;1.0;948.0;3.0
Bouiki ninahu nggaluku;Tidak Diketahui;5.30 g;94.0;7.8;10.8;2.2;0.0;58.0
Coklat pahit batang;10.10 g;615.0;5.5;29.2;42.6;0.0;20.0;10.8
Supermi ayam Bawang;4 g;130.0;7.0;46.0;15.0;2.0;1030.0;4.0
Coco pops;1 g;120.0;2.0;26.0;0.5;12.0;0.0;1.0
Buah naga merah;Tidak Diketahui;0.40 g;71.0;1.7;9.1;3.1;0.0;10.0
Gulai keumamah;Tidak Diketahui;1.30 g;110.0;5.9;3.2;8.2;0.0;335.0
Ampas tahu kukus;0.60 g;75.0;4.1;10.7;2.1;0.0;0.0;5.1
Cold Stone Creamery chocolate Devotion;3 g;870.0;13.0;108.0;45.0;91.0;0.0;3.0
Lepok / Ubi rumput;0.90 g;181.0;2.8;39.8;1.2;0.0;116.0;10.7
Rajungan;Tidak Diketahui;2.70 g;76.0;12.1;2.4;2.0;0.0;69.0
Permen mentos peppermint;0 g;5.0;0.0;1.0;0.0;0.0;0.0;0.0
Pop mie kuah pedes dower;3 g;360.0;6.0;46.0;16.0;4.0;0.0;3.0
Ketimun madura;Tidak Diketahui;0.40 g;9.0;0.5;1.9;0.1;0.0;2.0
Getuk goreng;1.50 g;360.0;1.3;74.3;6.4;0.0;0.0;0.8
Laksa/Putu mayang;0.60 g;121.0;1.7;21.1;3.4;0.0;0.0;0.0
Ultramilk law fat source of calcium;7 g;90.0;7.0;11.0;2.5;0.0;105.0;0.0
